organization,nameone,name,label,description,citation,version
Federal Judicial Center,Integrated Database,Appeals Integrated Database,FJC-IDB,"The IDB contains data on civil case and criminal defendant filings and terminations in the district courts, along with bankruptcy court and appellate court case information from 1970 to the present.","Federal Judicial Center. 2016. ""Appeals Integrated Database (IDB): 1971 to 2007, Codebook."" Available at https://www.fjc.gov/sites/default/files/idb/codebooks/Appeals%20Codebook%201971-2007.pdf.",1
Federal Judicial Center,Integrated Database,Bankruptcy Petition Newstats Snapshots Database,FJC-IDB,"The IDB contains data on civil case and criminal defendant filings and terminations in the district courts, along with bankruptcy court and appellate court case information from 1970 to the present.","Federal Judicial Center. 2023. ""Bankruptcy Petition NewSTATS Snapshots Database, Codebook."" Available at https://www.fjc.gov/sites/default/files/idb/codebooks/Bankruptcy%20IDB%20Online%20Codebook%20rev%2002282023.pdf.",1
Federal Judicial Center,Integrated Database,Civil Integrated Database,FJC-IDB,"The IDB contains data on civil case and criminal defendant filings and terminations in the district courts, along with bankruptcy court and appellate court case information from 1970 to the present.","Federal Judicial Center. 1988. ""Integrated Data Base: Civil Codebook."" Available at https://www.fjc.gov/sites/default/files/idb/codebooks/Civil Codebook 1970-1987.pdf.",1
Federal Judicial Center,Integrated Database,Criminal Integrated Database,FJC-IDB,"The IDB contains data on civil case and criminal defendant filings and terminations in the district courts, along with bankruptcy court and appellate court case information from 1970 to the present.","Federal Judicial Center. 1996. ""Criminal Integrated Database (IDB): 1970-1995, Codebook."" Available at https://www.fjc.gov/sites/default/files/idb/codebooks/Criminal%20Code%20Book%201970-1995.pdf.",1
